source_status	path	classification	destination	evidence
M	.gitignore	irreducible_compatibility	mod-playerbots	repository_or_distribution_support
A	.graphifyignore	irreducible_compatibility	mod-playerbots	repository_or_distribution_support
A	ERRORS.md	irreducible_compatibility	mod-playerbots	repository_or_distribution_support
M	README.md	irreducible_compatibility	mod-playerbots	repository_or_distribution_support
M	conf/playerbots.conf.dist	irreducible_compatibility	mod-playerbots	repository_or_distribution_support
A	data/sql/playerbots/updates/2026_08_01_00_playerbot_social_schema.sql	extracted_implementation	mod-playerbots-social	social_domain
A	data/sql/playerbots/updates/2026_08_02_00_playerbot_social_biography_request.sql	extracted_implementation	mod-playerbots-social	social_domain
A	data/sql/playerbots/updates/2026_08_03_00_playerbot_social_event_type_index.sql	extracted_implementation	mod-playerbots-social	social_domain
A	data/sql/playerbots/updates/2026_08_03_01_playerbot_social_event_zone_index.sql	extracted_implementation	mod-playerbots-social	social_domain
A	data/sql/playerbots/updates/2026_08_04_00_playerbot_budget_lane_unspecified.sql	extracted_implementation	mod-playerbot-llm	llm_domain
A	data/sql/playerbots/updates/2026_08_05_00_playerbot_social_reply_parent.sql	extracted_implementation	mod-playerbots-social	social_domain
A	data/sql/playerbots/updates/2026_08_06_00_playerbot_personality.sql	extracted_implementation	mod-playerbot-personality	personality_domain
A	data/sql/playerbots/updates/2026_08_07_00_playerbot_llm_tables.sql	extracted_implementation	mod-playerbot-llm	llm_domain
A	data/sql/playerbots/updates/2026_08_08_00_playerbot_llm_bot_purge.sql	extracted_implementation	mod-playerbot-llm	llm_domain
A	data/sql/playerbots/updates/2026_08_08_01_playerbot_economy_affinity.sql	extracted_implementation	mod-playerbots-economy	economy_domain
A	data/sql/playerbots/updates/2026_08_08_02_playerbot_economy_market.sql	extracted_implementation	mod-playerbots-economy	economy_domain
A	data/sql/playerbots/updates/2026_08_09_00_playerbot_social_profile_v3.sql	extracted_implementation	mod-playerbots-social	social_domain
A	data/sql/playerbots/updates/2026_08_09_01_playerbot_social_provenance.sql	extracted_implementation	mod-playerbots-social	social_domain
A	docs/economy.md	extracted_implementation	mod-playerbots-economy	economy_domain
A	docs/personality.md	extracted_implementation	mod-playerbot-personality	personality_domain
A	docs/plans/2026-07-29-claude-playerbot-chat-module.md	extracted_implementation	personality+social+llm	mixed_feature_plan
A	docs/plans/2026-07-29-personality-playerbot-economy-lifecycle.md	extracted_implementation	personality+economy+lifecycle	mixed_feature_plan
A	docs/plans/2026-07-29-playerbot-stuck-loop-auto-recovery.md	extracted_implementation	mod-playerbots-recovery	recovery_domain
A	docs/plans/2026-07-30-playerbots-deeprun-tram.md	irreducible_compatibility	mod-playerbots	repository_or_distribution_support
A	docs/plans/2026-07-30-playerbots-trainer-profession-progression.md	extracted_implementation	mod-playerbots-economy	economy_domain
A	docs/plans/2026-08-10-social-grounded-presence-no-chatter.md	extracted_implementation	mod-playerbots-social	social_domain
A	docs/vanilla-only-server-rules.md	retired_vanilla	none	vanilla_policy_removed
A	mod-playerbots.cmake	irreducible_compatibility	mod-playerbots	repository_or_distribution_support
M	src/Ai/Base/ActionContext.h	extracted_implementation	economy+recovery	feature_action_registration
M	src/Ai/Base/Actions/AcceptInvitationAction.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Actions/AcceptQuestAction.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Actions/AddLootAction.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/ArenaTeamActions.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/BuyAction.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/ChooseTravelTargetAction.cpp	extracted_implementation	mod-playerbot-personality	personality_call_site
M	src/Ai/Base/Actions/DebugAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/DropQuestAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
A	src/Ai/Base/Actions/EconomyAction.cpp	extracted_implementation	mod-playerbots-economy	economy_domain
A	src/Ai/Base/Actions/EconomyAction.h	extracted_implementation	mod-playerbots-economy	economy_domain
M	src/Ai/Base/Actions/EmoteAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/FollowActions.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Actions/ImbueAction.cpp	irreducible_compatibility	mod-playerbots	source_only_wrath_compatibility
M	src/Ai/Base/Actions/ImbueAction.h	irreducible_compatibility	mod-playerbots	source_only_wrath_compatibility
M	src/Ai/Base/Actions/InviteToGroupAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/LootAction.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/LootRollAction.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/MailAction.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/MailAction.h	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/MoveToTravelTargetAction.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Actions/MovementActions.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Actions/MovementActions.h	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Actions/PetitionSignAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/QuestAction.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Actions/RevealGatheringItemAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/SayAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/SendMailAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/TalkToQuestGiverAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/TellPvpStatsAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/TradeStatusAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/TrainerAction.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/TrainerAction.h	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/TravelAction.cpp	irreducible_compatibility	mod-playerbots	source_only_wrath_compatibility
M	src/Ai/Base/Actions/UseItemAction.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/UseItemAction.h	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Base/Actions/WhoAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/WtsAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Actions/XpGainAction.cpp	irreducible_compatibility	mod-playerbots	source_only_wrath_compatibility
M	src/Ai/Base/Strategy/CombatStrategy.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Strategy/MaintenanceStrategy.cpp	extracted_implementation	mod-playerbots-economy	economy_strategy_call_site
M	src/Ai/Base/Strategy/NonCombatStrategy.cpp	extracted_implementation	mod-playerbots-economy	economy_strategy_call_site
M	src/Ai/Base/Strategy/TravelStrategy.cpp	extracted_implementation	mod-playerbots-economy	economy_strategy_call_site
M	src/Ai/Base/Trigger/StuckTriggers.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Trigger/StuckTriggers.h	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Trigger/TravelTriggers.cpp	extracted_implementation	mod-playerbots-economy	economy_strategy_call_site
M	src/Ai/Base/TriggerContext.h	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/Base/Util/GenericBuffUtils.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/Base/Value/BudgetValues.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/Raid/ICC/Action/ICCActions_SG.cpp	irreducible_compatibility	mod-playerbots	source_only_wrath_compatibility
M	src/Ai/World/Rpg/Action/NewRpgAction.cpp	extracted_implementation	economy+social	mixed_feature_call_site
M	src/Ai/World/Rpg/Action/NewRpgAction.h	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/World/Rpg/Action/NewRpgBaseAction.cpp	irreducible_compatibility	mod-playerbots	wrath_gameplay_compatibility
M	src/Ai/World/Rpg/Action/NewRpgBaseAction.h	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/World/Rpg/Action/RpgAction.cpp	extracted_implementation	mod-playerbots-social	social_call_site
M	src/Ai/World/Rpg/Action/RpgSubActions.cpp	irreducible_compatibility	mod-playerbots	rpg_target_identity
M	src/Ai/World/Rpg/NewRpgInfo.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/World/Rpg/NewRpgInfo.h	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Ai/World/Rpg/Strategy/NewRpgStrategy.cpp	extracted_implementation	mod-playerbots-economy	economy_call_site
M	src/Bot/Cmd/PlayerbotCommandServer.cpp	extracted_implementation	mod-playerbots-mcp	mcp_transport_call_site
