status	path	classification	evidence
A	.codegraph/.gitignore	repository_contract	codegraph_output_exclusion
M	.gitignore	repository_contract	local_analysis_and_patch_contract
A	CMakeLists.txt	repository_contract	standalone_seam_tests
M	conf/playerbots.conf.dist	retained_seam	extracted_configuration_ownership
A	data/sql/playerbots/updates/2026_08_11_00_playerbots_module_update_state.sql	irreducible_compatibility	module_database_update_state
M	data/sql/playerbots/base/updates.sql	irreducible_compatibility	module_database_update_state
A	docs/extraction-manifest.tsv	repository_contract	source_inventory
A	docs/extraction-report.md	repository_contract	extraction_evidence
A	docs/final-fork-inventory.tsv	repository_contract	final_inventory
A	patches/azerothcore-playerbot-test-harness.patch	repository_contract	public_integration_harness
M	src/Ai/Base/Actions/AcceptInvitationAction.cpp	irreducible_compatibility	invite_wakeup_and_acceptance
M	src/Ai/Base/Actions/AcceptQuestAction.cpp	irreducible_compatibility	quest_selection_and_acceptance
M	src/Ai/Base/Actions/FollowActions.cpp	irreducible_compatibility	static_transport_following
M	src/Ai/Base/Actions/MoveToTravelTargetAction.cpp	irreducible_compatibility	cross_map_transport_routing
M	src/Ai/Base/Actions/MovementActions.cpp	irreducible_compatibility	physical_transport_boarding
M	src/Ai/Base/Actions/MovementActions.h	irreducible_compatibility	physical_transport_boarding_contract
M	src/Ai/Base/Actions/QuestAction.cpp	irreducible_compatibility	quest_acceptance_target_identity
M	src/Ai/Base/Strategy/CombatStrategy.cpp	irreducible_compatibility	correct_combat_reset_action
M	src/Ai/World/Rpg/Action/NewRpgBaseAction.cpp	retained_seam	objective_availability_hook
M	src/Ai/World/Rpg/Action/RpgSubActions.cpp	irreducible_compatibility	correct_rpg_target_identity
M	src/Bot/Engine/AiObjectContext.cpp	retained_seam	named_context_registration
M	src/Bot/Engine/Engine.cpp	retained_seam	action_outcome_observation
M	src/Bot/Engine/ExternalEventHelper.cpp	retained_seam	nonexecuting_command_recognition
M	src/Bot/Engine/ExternalEventHelper.h	retained_seam	nonexecuting_command_contract
A	src/Bot/Extension/PlayerbotExtension.cpp	retained_seam	extension_registry
A	src/Bot/Extension/PlayerbotExtension.h	retained_seam	generic_extension_contract
M	src/Bot/Factory/AiFactory.cpp	retained_seam	default_strategy_registration
M	src/Bot/Factory/PlayerbotFactory.cpp	retained_seam	trade_skill_initialization_hook
A	src/Bot/Factory/RandomPlayerbotFactionBalance.h	irreducible_compatibility	faction_and_class_balance
M	src/Bot/Factory/RandomPlayerbotFactory.cpp	irreducible_compatibility	faction_balance_and_cleanup_seam
M	src/Bot/Factory/RandomPlayerbotFactory.h	irreducible_compatibility	global_name_and_creation_contract
M	src/Bot/PlayerbotAI.cpp	retained_seam	bot_observation_and_combat_wakeup
M	src/Bot/PlayerbotAI.h	retained_seam	bot_observation_helpers
M	src/Bot/RandomPlayerbotMgr.cpp	retained_seam	remote_command_dispatch
M	src/Mgr/Travel/TravelNode.cpp	irreducible_compatibility	transport_path_execution
M	src/Mgr/Travel/TravelNode.h	irreducible_compatibility	transport_path_contract
M	src/PlayerbotAIConfig.cpp	retained_seam	extracted_configuration_ownership
M	src/PlayerbotAIConfig.h	retained_seam	extracted_configuration_ownership
M	src/Script/Playerbots.cpp	retained_seam	module_database_and_world_hooks
M	src/Script/WorldThr/PlayerbotOperations.h	irreducible_compatibility	pending_invite_cancellation
M	src/Util/BroadcastHelper.cpp	retained_seam	authoritative_bot_event_observation
A	tests/cpp/PlayerbotExtensionRegistryTests.cpp	retained_seam	generic_registry_behavior
A	tests/cpp/PlayerbotFactionBalanceTests.cpp	irreducible_compatibility	faction_balance_behavior
A	tests/python/test_check_extraction_manifest.py	repository_contract	manifest_checker_behavior
A	tests/standalone/Define.h	repository_contract	standalone_test_types
A	tests/standalone/SharedDefines.h	repository_contract	standalone_test_constants
A	tools/check_extraction_manifest.py	repository_contract	exact_source_diff_checker
